state,x,y
Andhra Pradesh,-80,-97
Arunachal Pradesh,220,165
Assam,180,128
Bihar,41,117
Chhattisgarh,-26,32
Goa,-179,-91
Gujarat,-215,72
Haryana,-128,193
Himachal Pradesh,-124,242
Jharkhand,49,78
Karnataka,-142,-105
Kerala,-125,-201
Madhya Pradesh,-95,58
Maharashtra,-149,-10
Manipur,219,103
Meghalaya,152,117
Mizoram,198,73
Nagaland,228,129
Odisha,30,24
Punjab,-157,227
Rajasthan,-175,151
Sikkim,111,157
Tamil Nadu,-90,-186
Telangana,-84,-29
Tripura,172,81
Uttar Pradesh,-23,140
Uttarakhand,-86,210
West Bengal,95,65
Jammu And Kashmir,-142,290
Delhi,-117,177
Andaman And Nicobar Island,192,-159
Chandigar,-125,220
Ladakh,-114,302
Lakshadweep,-199,-218
Puducherry,-66,-165
Daman And Due,-202,8
Dadra And Nagar Haveli,-242,21


